,Precio,Precio Inicial,Estrellas,Marca,Dimensiones,RAM,Memoria,Peso
1277,394.61,"394,61",4.5,apple,50 x 50 x 28,8.0,128.0,277.3
1278,232.89,"247,59",4.3,xiaomi,"8,2 x 74 x 162,2",8.0,256.0,600.0
1279,92.76,"92,76",4.2,xiaomi,50 x 50 x 28,2.0,32.0,192.0
1280,189.0,"189,00",3.9,xiaomi,"17,8 x 9 x 6,1",6.0,6.0,193.0
1282,149.99,"199,99",4.3,doogee,"8 x 1,07 x 17,27",16.0,16.0,240.0
1283,499.0,"599,99",4.3,doogee,"8,31 x 1,79 x 17,85",8.0,20.0,390.0
1284,230.0,"399,00",4.4,samsung,50 x 50 x 28,8.0,128.0,200.0
1285,1579.0,"1.579,00",4.8,samsung,"18,8 x 11,2 x 6,8",8.0,12.0,600.0
1286,190.0,"190,00",4.0,samsung,"7,9 x 6,9 x 14,2",4.0,4.0,157.0
1287,150.0,"150,00",4.2,oppo,50 x 50 x 28,8.0,256.0,200.0
1290,199.99,"199,99",4.3,oukitel,"17,22 x 8,07 x 1,91",16.0,128.0,393.0
1291,191.9,"191,90",4.4,samsung,50 x 50 x 28,4.0,128.0,197.0
1292,799.0,"799,00",4.1,xiaomi,"32,6 x 28,4 x 8,6",8.0,8.0,277.3
1293,899.0,"899,00",4.1,xiaomi,"17,8 x 9 x 6,7",8.0,128.0,180.0
1294,125.92,"125,92",4.2,samsung,"16,65 x 7,59 x 0,92",3.0,32.0,199.0
1295,299.99,"499,99",4.5,doogee,"8,31 x 1,79 x 17,85",20.0,512.0,422.0
1297,135.88,"135,88",4.6,xiaomi,"17,27 x 8,89 x 5,59",6.0,6.0,500.0
1298,109.99,"109,99",4.1,oukitel,"24,6 x 16,9 x 7,2",24.0,256.0,200.0
1299,459.0,"599,00",4.4,sky royal trading ltd,"16,26 x 7,5 x 0,8",16.0,16.0,200.0
1301,578.0,"578,00",4.1,lg,50 x 50 x 28,16.0,512.0,277.3
1302,283.0,"295,00",4.1,samsung,50 x 50 x 28,8.0,8.0,277.3
1304,319.0,"319,00",4.0,apple,"0,77 x 6,42 x 13,15",8.0,128.0,350.0
1305,139.99,"139,99",4.0,fossibot,"22,7 x 21,3 x 4,9",7.0,128.0,620.0
1306,89.01,"89,01",4.1,mcmgc,"17,5 x 9,5 x 5,5",4.0,64.0,420.0
1307,249.0,"249,00",3.7,samsung,"0,79 x 6,99 x 14,22",8.0,6.0,150.0
1309,128.4,"128,40",4.3,xiaomi,15 x 8 x 5,6.0,6.0,179.0
1310,529.99,"529,99",3.7,doogee,"8,2 x 1,55 x 17,2",8.0,8.0,320.0
1311,257.0,"399,00",4.0,xiaomi,50 x 50 x 28,8.0,256.0,360.0
1312,234.55,"274,73",4.4,samsung,"16,54 x 7,69 x 0,84",4.0,4.0,197.0
1313,329.25,"329,25",4.5,xiaomi,"18,7 x 9,2 x 6,1",12.0,256.0,190.0
1314,99.99,"131,90",3.9,ati,50 x 50 x 28,4.0,64.0,198.0
1315,157.62,"157,62",4.4,realme,"17,8 x 8,8 x 6,1",8.0,6.0,200.0
1316,499.89,"499,89",4.4,oppo,"16,62 x 7,52 x 0,74",8.0,8.0,191.0
1317,94.99,"94,99",4.2,xiaomi,50 x 50 x 28,2.0,2.0,196.0
1318,374.0,"374,00",3.4,apple,"17,7 x 10,6 x 5,2",8.0,128.0,320.0
1319,119.99,"119,99",3.6,xiaomi,50 x 50 x 28,4.0,32.0,300.0
1320,1279.0,"1.279,00",4.4,apple,"0,82 x 7,67 x 15,99",8.0,512.0,400.0
1321,227.0,"235,00",4.0,samsung,50 x 50 x 28,8.0,256.0,280.0
1322,539.0,"539,00",3.5,apple,18 x 10 x 3,8.0,128.0,500.0
1323,127.99,"127,99",4.4,samsung,"7,78 x 0,88 x 16,8",8.0,4.0,195.0
1324,624.87,"624,87",4.6,apple,50 x 50 x 28,8.0,128.0,277.3
