,Precio,Precio Inicial,Estrellas,Marca,Dimensiones,RAM,Memoria,Peso
1535,179.0,"199,00",3.8,samsung,"19,5 x 9,6 x 5,4",8.0,128.0,360.0
1536,79.99,"79,99",3.7,cubot,"18 x 14 x 3,5",4.0,128.0,400.0
1537,199.99,"219,99",4.4,samsung,"6,81 x 14,89 x 0,8",4.0,4.0,152.0
1538,1099.0,"1.099,00",5.0,honor,"18,1 x 9,5 x 3,7",12.0,12.0,380.0
1539,109.99,"109,99",4.0,hotwav,"16,6 x 7,7 x 8,7",8.0,128.0,230.0
1541,59.31,"59,31",4.1,mtgud,"17 x 9,5 x 5,5",1.0,16.0,350.0
1543,277.08,"277,08",4.4,samsung,"0,84 x 7,69 x 16,54",8.0,128.0,198.0
1544,244.9,"343,02",4.3,samsung,16 x 3 x 8,8.0,8.0,197.0
1545,139.99,"139,99",4.2,fossibot,"7,62 x 2,03 x 15,57",8.0,4.0,350.0
1546,198.99,"299,00",4.1,samsung,50 x 50 x 28,4.0,4.0,330.0
1547,195.0,"195,00",4.4,samsung,16 x 8 x 6,8.0,128.0,250.0
1548,244.0,"244,00",4.3,samsung,16 x 3 x 8,8.0,8.0,197.0
1549,633.0,"633,00",3.3,apple,"0,77 x 7,81 x 16,08",8.0,128.0,230.0
1552,108.49,"179,00",4.4,honor,50 x 50 x 28,4.0,64.0,194.0
1553,249.0,"249,00",4.0,motorola,50 x 50 x 28,8.0,16.0,470.0
1554,1319.9,"1.319,90",4.1,honor,"15,66 x 0,43 x 14,53",8.0,512.0,230.0
1555,749.0,"749,00",4.6,apple,"0,78 x 7,15 x 14,67",8.0,128.0,330.0
1556,146.0,"146,00",3.7,nokia,"12,9 x 7 x 12,9",8.0,1.0,139.0
1557,99.99,"99,99",4.0,ulefone,"7,34 x 0,85 x 15,53",3.0,3.0,153.0
1558,515.0,"515,00",4.7,xiaomi,50 x 50 x 28,12.0,512.0,500.0
1560,475.0,"475,00",4.2,oneplus,"16,26 x 7,59 x 0,88",12.0,12.0,206.0
1562,119.0,"140,00",3.8,xiaomi,50 x 50 x 28,8.0,256.0,192.0
1563,100.7,"109,13",4.2,samsung,"16,73 x 7,73 x 0,8",4.0,4.0,250.0
1565,98.69,"98,69",4.5,xiaomi,"15,65 x 7,54 x 0,94",4.0,64.0,188.0
1566,313.99,"313,99",4.3,oppo,"16,36 x 7,4 x 0,83",12.0,12.0,193.0
1567,172.65,"172,65",4.8,samsung,50 x 50 x 28,4.0,4.0,280.0
1568,179.99,"179,99",4.4,oukitel,"25,4 x 22,9 x 4,9",24.0,128.0,590.0
1569,168.08,"184,00",4.4,xiaomi,50 x 50 x 28,8.0,8.0,370.0
1570,283.48,"283,48",4.4,nothing phone,"15,9 x 0,83 x 7,58",8.0,8.0,194.0
1571,99.0,"105,00",4.1,realme,"16,73 x 7,67 x 0,78",6.0,128.0,500.0
1572,520.0,"520,00",3.9,samsung,"0,83 x 7,52 x 16,16",8.0,8.0,480.0
1573,1346.0,"1.346,00",4.4,apple,50 x 50 x 28,8.0,128.0,277.3
1574,369.0,"369,00",3.7,lenovo,"16,92 x 7,85 x 0,99",12.0,12.0,239.0
1575,188.47,"207,66",4.7,xiaomi,50 x 50 x 28,8.0,8.0,480.0
1577,98.69,"98,69",4.5,xiaomi,"15,65 x 7,54 x 0,94",4.0,64.0,188.0
1578,313.99,"313,99",4.3,oppo,"16,36 x 7,4 x 0,83",12.0,12.0,193.0
1579,172.65,"172,65",4.8,samsung,50 x 50 x 28,4.0,4.0,280.0
1580,179.99,"179,99",4.4,oukitel,"25,4 x 22,9 x 4,9",24.0,128.0,590.0
1581,167.97,"184,00",4.4,xiaomi,50 x 50 x 28,8.0,8.0,370.0
1582,283.48,"283,48",4.4,nothing phone,"15,9 x 0,83 x 7,58",8.0,8.0,194.0
1583,99.0,"105,00",4.1,realme,"16,73 x 7,67 x 0,78",6.0,128.0,500.0
1584,339.0,"389,99",4.5,samsung,"7,74 x 0,82 x 16,11",8.0,128.0,213.0
1585,102.99,"129,00",4.1,xiaomi,"18,6 x 9,3 x 3,7",8.0,128.0,360.0
1586,520.0,"520,00",3.9,samsung,"0,83 x 7,52 x 16,16",8.0,8.0,480.0
1587,1346.0,"1.346,00",4.4,apple,50 x 50 x 28,8.0,128.0,277.3
1588,369.0,"369,00",3.7,lenovo,"16,92 x 7,85 x 0,99",12.0,12.0,239.0
1589,188.47,"207,66",4.7,xiaomi,50 x 50 x 28,8.0,8.0,480.0
1590,173.49,"173,49",4.4,samsung,"19,3 x 13,6 x 5,1",4.0,128.0,290.0
1591,132.5,"132,50",3.5,xiaomi,"18,1 x 8,9 x 5,9",4.0,128.0,188.0
1592,181.68,"181,68",4.2,motorola,"16,16 x 7,38 x 0,8",8.0,256.0,177.0
1593,168.0,"221,53",4.1,xiaomi,50 x 50 x 28,8.0,128.0,250.0
1594,489.99,"489,99",4.3,samsung,"7,06 x 0,76 x 14,6",8.0,256.0,167.0
1595,109.99,"109,99",4.6,cubot,"20,9 x 17 x 6",4.0,128.0,530.0
1596,665.38,"665,38",4.5,sony,"16,5 x 7,1 x 0,82",12.0,256.0,185.0
1597,93.83,"93,83",4.1,lg,19 x 16 x 8,1.0,128.0,128.0
1598,269.0,"369,00",4.4,samsung,"0,81 x 7,4 x 15,97",6.0,128.0,186.0
1599,635.0,"635,00",3.8,apple,"16,3 x 9 x 2,7",8.0,128.0,377.0
1603,149.99,"149,99",4.3,blackview,"18,5 x 9,7 x 5,7",12.0,128.0,208.0
1605,238.96,"238,96",4.5,cmf by northing,"7,75 x 0,82 x 16,37",8.0,128.0,197.0
1606,219.99,"259,99",4.5,oukitel,"8,1 x 1,53 x 17,2",24.0,256.0,670.0
1607,1399.0,"1.399,00",4.3,apple,"0,82 x 7,76 x 16,3",8.0,256.0,410.0
1608,229.0,"399,00",4.3,motorola,"16 x 0,8 x 7,2",12.0,256.0,170.0
1609,159.99,"159,99",4.2,oscal,"16,85 x 7,66 x 0,83",24.0,24.0,198.0
1611,62.0,"62,00",3.3,hipipooo,"10,3 x 6,7 x 4,2",2.0,16.0,150.0
1613,339.5,"339,50",3.5,apple computer,"16,49 x 8,96 x 2,82",8.0,256.0,300.0
1614,89.99,"119,99",4.1,oukitel,"16,37 x 7,54 x 0,92",12.0,12.0,199.0
1615,992.0,"1.045,00",4.4,samsung,50 x 50 x 28,12.0,256.0,350.0
1617,164.98,"199,00",4.2,huawei,"15,9 x 7,69 x 0,81",32.0,3.0,168.0
1620,119.99,"119,99",4.7,hotwav,"18,75 x 9,25 x 4,5",4.0,128.0,430.0
1621,229.0,"229,00",4.3,vivo,"16,32 x 7,58 x 0,78",8.0,256.0,186.0
1622,101.99,"101,99",4.1,xiaomi,"18,9 x 9,5 x 3,7",6.0,128.0,360.0
1624,513.99,"558,90",4.4,samsung,50 x 50 x 28,8.0,8.0,350.0
1625,746.52,"746,52",4.5,oneplus,"16,4 x 7,6 x 0,9",12.0,12.0,220.0
1628,643.85,"643,85",4.1,apple,"0,78 x 7,81 x 16,08",8.0,256.0,203.0
1630,229.99,"229,99",4.5,doogee,"8,31 x 1,79 x 17,85",16.0,256.0,422.0
1632,106.24,"124,99",4.2,umidigi,"16,7 x 7,7 x 0,79",4.0,128.0,189.0
1633,149.99,"149,99",4.3,doogee,"16,38 x 7,58 x 0,86",8.0,128.0,186.0
1634,338.0,"338,00",4.7,samsung,50 x 50 x 28,8.0,8.0,277.3
1635,189.99,"189,99",4.1,doogee,"19,3 x 10,4 x 5,7",6.0,256.0,670.0
1636,161.0,"169,00",3.9,xiaomi,"18 x 9,1 x 5,9",8.0,256.0,480.0
1637,1451.81,"1.451,81",4.1,apple,8 x 3 x 15,8.0,256.0,270.0
1638,243.99,"243,99",4.5,samsung,50 x 50 x 28,8.0,256.0,199.0
1639,139.99,"139,99",4.2,ulefone,"7,57 x 0,98 x 16,23",4.0,4.0,199.0
1640,57.99,"57,99",5.0,hyrich,"17 x 9,5 x 5,5",1.0,16.0,350.0
1642,169.9,"169,90",4.3,xiaomi,"16,86 x 0,83 x 7,63",6.0,128.0,205.0
1643,239.99,"239,99",4.3,ulefone,"8,49 x 1,5 x 17,68",16.0,16.0,324.0
1644,269.0,"349,00",4.1,oppo,"18,4 x 9,9 x 4,6",16.0,16.0,440.0
1645,369.99,"429,00",3.6,sony,"16,7 x 7,3 x 0,83",4.0,4.0,180.0
1646,249.99,"249,99",4.2,xiaomi,"7,38 x 0,81 x 15,98",6.0,6.0,179.0
1647,260.0,"260,00",4.6,xiaomi,50 x 50 x 28,8.0,256.0,330.0
1649,229.0,"229,00",4.4,samsung,"16,51 x 7,58 x 16,4",1.0,1.0,205.0
1651,149.99,"179,99",4.6,tcl,"16,41 x 7,5 x 0,83",8.0,128.0,190.0
1652,109.99,"109,99",4.2,xiaomi,"7,7 x 0,79 x 16,5",8.0,128.0,300.0
1653,219.99,"219,99",4.4,doogee,"8,12 x 1,58 x 17,4",24.0,256.0,362.0
1654,94.99,"94,99",4.6,xiaomi,"0,88 x 7,64 x 16,13",6.0,6.0,200.0
1655,142.99,"142,99",4.6,xiaomi,"16,6 x 7,8 x 0,8",8.0,8.0,350.0
1656,469.99,"469,99",4.7,doogee,"8,25 x 1,6 x 17,95",12.0,512.0,364.0
1658,120.0,"120,00",4.1,samsung,"16,73 x 7,73 x 0,8",4.0,4.0,250.0
1659,170.0,"221,95",4.5,xiaomi,50 x 50 x 28,8.0,8.0,277.3
1660,199.98,"219,99",4.1,samsung,"6,92 x 0,79 x 14,44",4.0,4.0,140.0
1661,179.97,"189,90",4.4,samsung,"14,74 x 6,97 x 0,84",3.0,32.0,141.0
1662,304.0,"304,00",4.4,samsung,50 x 50 x 28,8.0,8.0,277.3
1664,169.99,"169,99",3.6,samsung,50 x 50 x 28,32.0,32.0,277.3
1665,179.9,"179,90",4.3,xiaomi,"20,7 x 15,1 x 9,1",8.0,256.0,657.0
1667,149.0,"149,00",4.5,vivo,"16,37 x 7,54 x 0,81",4.0,4.0,186.0
1668,124.99,"133,00",4.0,realme,50 x 50 x 28,8.0,8.0,190.0
1669,499.99,"559,99",4.4,ulefone,"19,9 x 10,9 x 7,2",8.0,256.0,830.0
1671,368.45,"368,45",4.5,samsung,"15,57 x 7,45 x 0,79",6.0,6.0,177.0
1673,1439.0,"1.489,00",4.5,apple,50 x 50 x 28,8.0,512.0,277.3
1674,139.99,"139,99",4.0,fossibot,"24,4 x 22,7 x 6",12.0,64.0,710.0
1675,149.99,"199,99",4.3,doogee,"19,4 x 10,4 x 5,2",16.0,256.0,242.0
1677,155.0,"155,00",4.1,samsung,"7,47 x 0,77 x 15,85",6.0,6.0,166.0
1678,194.0,"216,93",4.5,xiaomi,"17,7 x 9 x 6",12.0,12.0,500.0
1679,748.97,"1.099,00",4.5,oneplus,"18,4 x 9,8 x 6,1",16.0,16.0,500.0
1680,99.99,"99,99",4.1,oukitel,"23,3 x 19,3 x 6,1",8.0,64.0,215.0
1681,595.0,"909,00",4.3,samsung,50 x 50 x 28,8.0,128.0,167.0
1682,1010.12,"1.010,12",4.8,samsung,"18,8 x 11,3 x 6,7",8.0,12.0,610.0
1683,349.99,"349,99",4.4,doogee,"8,31 x 1,79 x 17,85",20.0,20.0,200.0
1684,90.99,"90,99",4.1,ati,"9,04 x 4,65 x 1,12",64.0,3.0,300.0
1685,172.0,"172,00",3.9,samsung,"7,8 x 0,91 x 16,77",8.0,128.0,280.0
1686,299.99,"379,99",4.3,doogee,"19,2 x 10,4 x 5,7",32.0,256.0,364.0
1687,239.99,"239,99",3.2,doogee,"133 x 60 x 13,5",15.0,256.0,390.0
1688,329.99,"329,99",4.4,ulefone,"8,16 x 1,81 x 17,6",16.0,16.0,409.0
1689,89.99,"89,99",4.0,oscal,"16,46 x 7,68 x 0,94",7.0,7.0,193.0
1690,360.0,"360,00",4.3,samsung,"0,78 x 7,37 x 16,19",8.0,128.0,186.0
1691,529.9,"529,90",4.4,xiaomi,"18,1 x 9 x 4,2",8.0,512.0,400.0
1692,127.99,"127,99",3.9,cubot,"17,26 x 8,12 x 1,28",16.0,128.0,268.0
1693,64.99,"64,99",3.0,ttfone,"1 x 6,5 x 12,5",8.0,8.0,195.0
1694,621.0,"621,00",4.5,samsung,17 x 2 x 9,8.0,128.0,340.0
1695,115.0,"115,00",4.2,xiaomi,50 x 50 x 28,6.0,6.0,100.0
1696,59.99,"69,99",3.3,alcatel,"13,76 x 6,57 x 0,98",8.0,16.0,134.0
1697,515.0,"515,00",4.1,samsung,"2,79 x 24,64 x 16,51",8.0,128.0,228.0
1698,289.0,"289,00",3.9,samsung,"15,17 x 7,12 x 0,79",8.0,8.0,169.0
1699,890.92,"890,92",4.5,xiaomi,"7,15 x 0,8 x 15,28",12.0,256.0,189.0
1701,325.54,"479,00",3.5,xiaomi,50 x 50 x 28,8.0,8.0,210.0
1702,469.99,"469,99",4.7,doogee,"8,25 x 1,6 x 17,95",32.0,512.0,364.0
1703,273.57,"273,57",4.4,samsung,"24 x 69 x 2,5",6.0,6.0,186.0
1704,209.9,"249,90",4.1,honor,"16 x 7,5 x 7",8.0,8.0,170.0
1705,109.99,"109,99",4.5,doogee,"16,38 x 7,58 x 0,86",8.0,128.0,200.0
1706,1399.0,"1.399,00",5.0,apple,"0,82 x 7,76 x 16,3",8.0,256.0,400.0
1707,379.59,"399,00",4.2,xiaomi,"18 x 9,1 x 6,5",12.0,512.0,530.0
1708,109.99,"119,99",2.4,qimhai,"18,2 x 9,1 x 5,2",4.0,128.0,400.0
1710,156.0,"156,00",4.3,xiaomi,"16,22 x 7,55 x 0,8",8.0,256.0,189.0
1712,299.99,"499,99",4.4,doogee,"17,85 x 8,31 x 1,79",12.0,12.0,422.0
1713,1702.36,"1.702,36",4.4,apple,50 x 50 x 28,8.0,512.0,277.3
1714,404.99,"404,99",4.2,apple,18 x 10 x 3,8.0,256.0,500.0
1716,129.99,"129,99",3.7,cubot,"16,57 x 7,58 x 0,97",16.0,16.0,217.0
1717,209.0,"238,00",4.4,xiaomi,50 x 50 x 28,8.0,256.0,202.0
1718,358.0,"358,00",4.2,samsung,"7,45 x 0,79 x 15,57",8.0,128.0,310.0
1719,1159.0,"1.159,00",5.0,samsung,"19,5 x 12,1 x 6,6",8.0,256.0,380.0
1720,1954.53,"1.954,53",4.0,apple,50 x 50 x 28,8.0,1024.0,277.3
1721,249.0,"369,00",4.3,samsung,"19,4 x 9,6 x 5,4",8.0,256.0,370.0
1722,116.9,"116,90",4.2,xiaomi,"17,19 x 7,78 x 0,82",8.0,8.0,360.0
1724,114.99,"114,99",4.1,ulefone,"9,11 x 5,5 x 18,05",4.0,4.0,189.0
1725,382.0,"382,00",3.6,apple,"2,81 x 0,3 x 5,78",8.0,128.0,350.0
1726,109.57,"109,57",4.1,zte,9 x 4 x 18,8.0,256.0,340.0
1728,75.99,"89,99",4.0,ulefone,"18,8 x 9,9 x 6,4",3.0,32.0,490.0
1731,195.0,"195,00",4.3,samsung,"0,78 x 7,04 x 14,99",8.0,128.0,120.0
1732,225.0,"225,00",4.1,samsung,"7,47 x 0,81 x 15,95",6.0,6.0,190.0
1733,239.0,"299,00",4.2,honor,50 x 50 x 28,8.0,256.0,179.0
1734,239.99,"349,00",4.2,samsung,"189,74 x 19,56 x 402,59",8.0,128.0,186.0
1735,85.65,"85,65",4.2,motorola,"16,15 x 0,8 x 7,38",4.0,128.0,175.0
1738,144.99,"169,90",4.1,xiaomi,"18,5 x 9,1 x 3,4",8.0,256.0,370.0
1739,178.99,"259,00",4.4,oppo,50 x 50 x 28,6.0,6.0,175.0
1741,210.0,"210,00",4.0,samsung,"0,9 x 7,64 x 16,2",2.0,2.0,201.0
1742,137.99,"137,99",4.2,xiaomi,"16,37 x 7,64 x 0,78",8.0,8.0,480.0
1744,159.99,"159,99",3.9,blackview,"18,6 x 9,7 x 6,7",8.0,256.0,540.0
1745,85.99,"85,99",4.3,hotwav,"16,6 x 7,7 x 0,9",4.0,64.0,220.0
1747,134.9,"134,90",4.1,xiaomi,18 x 9 x 4,4.0,128.0,340.0
1748,310.99,"310,99",4.2,huawei,723 x 86 x 1578,8.0,128.0,189.0
1749,349.0,"349,00",4.2,motorola,"16,31 x 7,59 x 0,71",8.0,128.0,250.0
1750,309.99,"325,99",4.5,oukitel,"17,22 x 8,1 x 1,49",24.0,256.0,360.0
1752,153.44,"153,44",3.5,nokia,"6,75 x 0,9 x 12,79",8.0,8.0,128.0
1753,126.0,"126,00",3.9,xiaomi,"17,2 x 8,8 x 5,4",8.0,4.0,480.0
1754,79.0,"79,00",4.1,fine life pro,"17,27 x 8,13 x 0,91",2.0,16.0,363.0
1755,203.0,"299,00",2.8,xiaomi,50 x 50 x 28,8.0,256.0,190.0
1756,99.99,"99,99",3.6,ulefone,"7,34 x 0,85 x 15,53",3.0,3.0,153.0
1757,126.99,"126,99",4.4,oukitel,"16,8 x 7,8 x 0,94",18.0,128.0,209.0
1758,114.99,"114,99",3.0,oppo,50 x 50 x 28,8.0,128.0,186.0
1759,313.99,"313,99",4.0,oppo,"16,36 x 7,4 x 0,83",8.0,12.0,193.0
1760,259.99,"259,99",4.5,doogee,6 x 20 x 28,12.0,12.0,344.0
1761,349.99,"349,99",3.9,blackview,"8,56 x 2,28 x 18,46",21.0,21.0,516.0
1762,154.99,"219,00",4.4,samsung,50 x 50 x 28,64.0,64.0,277.3
1763,529.9,"529,90",3.9,apple,50 x 50 x 28,8.0,512.0,349.0
1764,589.99,"589,99",4.9,doogee,"0,83 x 0,26 x 0,18",32.0,512.0,790.0
1765,239.39,"239,39",4.1,cat,"16,5 x 8,9 x 7,9",4.0,4.0,210.0
1766,159.99,"159,99",4.2,oscal,"16,85 x 7,66 x 0,83",24.0,24.0,198.0
1767,199.99,"239,00",4.5,xiaomi,"16,23 x 7,72 x 0,89",8.0,4.0,199.0
1768,204.99,"204,99",4.9,xiaomi,"7,61 x 0,81 x 16,42",8.0,128.0,189.0
1769,325.5,"325,50",3.7,cat,"17,1 x 8 x 1,2",6.0,6.0,280.0
1770,149.0,"149,00",4.4,tcl,50 x 50 x 28,64.0,4.0,190.0
1771,279.99,"279,99",4.0,fossibot,"22,6 x 21,5 x 6,3",8.0,256.0,740.0
1772,245.0,"245,00",4.4,samsung,50 x 50 x 28,8.0,128.0,500.0
1773,129.0,"139,00",4.5,oppo,"16,57 x 7,6 x 0,77",8.0,8.0,186.0
1774,120.0,"120,00",3.5,apple,"6,71 x 0,71 x 13,82",16.0,16.0,143.0
1775,389.9,"389,90",3.5,apple,"17,6 x 9,6 x 5,41",8.0,256.0,390.0
1776,259.0,"270,33",4.1,realme,"16,3 x 7,5 x 0,8",12.0,512.0,200.0
1777,129.99,"129,99",4.3,xiaomi,50 x 50 x 28,4.0,128.0,181.0
1778,471.02,"471,02",3.9,xiaomi,50 x 50 x 28,12.0,12.0,500.0
1780,449.99,"449,99",4.3,samsung,"7,06 x 0,76 x 14,6",8.0,128.0,167.0
1782,649.0,"649,00",3.2,apple,27 x 14 x 7,8.0,512.0,500.0
1783,106.0,"106,00",3.8,samsung,"14,72 x 6,95 x 0,83",8.0,32.0,141.0
1784,139.99,"139,99",4.2,oscal,"16,32 x 7,52 x 0,87",12.0,256.0,193.0
1785,89.99,"129,99",4.1,oukitel,"16,37 x 7,54 x 0,92",12.0,12.0,199.0
1786,209.0,"209,00",4.3,oppo,"18,3 x 9,9 x 3,9",8.0,256.0,380.0
1787,399.0,"399,00",4.3,oppo,"16,14 x 7,41 x 0,75",24.0,24.0,178.0
1788,369.99,"369,99",3.7,samsung,50 x 50 x 28,8.0,8.0,320.0
1789,164.99,"197,27",4.4,samsung,16 x 2 x 8,8.0,4.0,200.0
1790,149.99,"149,99",4.0,doogee,"19,3 x 10,4 x 5,2",8.0,128.0,186.0
1791,1399.0,"1.399,00",4.1,asus,50 x 50 x 28,16.0,512.0,277.3
1792,99.99,"99,99",4.3,oukitel,"16,68 x 7,75 x 0,87",16.0,128.0,199.0
1794,114.99,"114,99",4.3,xiaomi,"16,88 x 7,64 x 0,88",6.0,6.0,179.0
1796,55.99,"55,99",3.0,msmga,"16,7 x 9,3 x 5,4",1.0,16.0,330.0
1798,99.99,"99,99",4.5,blackview,"16,32 x 7,51 x 0,87",6.0,64.0,193.0
1799,234.98,"299,00",4.3,samsung,"0,91 x 7,61 x 16,42",4.0,128.0,205.0
1801,301.74,"310,87",4.5,xiaomi,"9 x 18,5 x 6",8.0,8.0,277.3
1802,179.99,"189,99",4.3,doogee,"8,31 x 1,79 x 17,85",20.0,256.0,365.0
1803,147.0,"147,00",3.8,samsung,"7,79 x 0,79 x 16,44",4.0,128.0,200.0
1805,1741.39,"1.741,39",4.5,apple,"0,82 x 7,76 x 16,3",8.0,512.0,410.0
1807,129.99,"129,99",3.5,doogee,"19,4 x 10,1 x 6",16.0,256.0,262.0
1809,399.0,"399,00",4.2,samsung,"6,63 x 0,79 x 13,54",8.0,16.0,138.0
1811,266.99,"266,99",4.4,xiaomi,"0,78 x 7,64 x 16,37",8.0,128.0,196.0
1816,159.99,"159,99",3.9,cubot,"23,8 x 15,9 x 7,5",12.0,12.0,780.0
1817,644.08,"644,08",4.5,apple,50 x 50 x 28,8.0,128.0,277.3
1818,159.99,"159,99",4.1,fossibot,"16,7 x 7,7 x 0,86",8.0,256.0,195.0
1819,147.95,"209,00",4.4,samsung,10 x 12 x 13,64.0,64.0,192.0
1820,96.28,"96,28",4.2,samsung,"7,1 x 0,77 x 14,9",3.0,32.0,162.0
1821,581.85,"581,85",4.3,oneplus,"16,53 x 7,43 x 0,8",12.0,12.0,199.0
1822,129.8,"129,80",3.7,samsung,50 x 50 x 28,8.0,128.0,250.0
1824,249.98,"249,98",3.9,huawei,"15,92 x 7,63 x 0,87",6.0,6.0,300.0
1825,136.49,"136,49",4.3,xiaomi,"11,42 x 12,68 x 12,52",8.0,128.0,277.3
1826,59.99,"59,99",3.5,atevense,"11,2 x 7,3 x 4,7",2.0,2.0,154.0
1827,309.9,"360,50",4.1,samsung,50 x 50 x 28,8.0,256.0,210.0
1828,162.89,"162,89",4.2,samsung,"16,37 x 7,53 x 0,89",3.0,32.0,192.0
1829,85.89,"119,99",4.0,xiaomi,"16,48 x 7,71 x 0,9",2.0,2.0,194.0
1830,210.0,"210,00",4.4,samsung,"16,5 x 8 x 2,9",6.0,128.0,186.0
1831,52.7,"52,70",3.7,panasonic,60 x 60 x 85,8.0,128.0,290.0
1832,119.0,"119,00",4.4,vivo,"16,36 x 7,56 x 0,84",4.0,4.0,185.0
1833,899.0,"899,00",4.4,apple,"0,78 x 7,16 x 14,76",8.0,128.0,329.0
1834,193.66,"193,66",4.1,lg,50 x 50 x 28,8.0,8.0,277.3
1835,285.0,"310,50",4.3,samsung,"15,96 x 0,81 x 15,96",6.0,128.0,189.0
1837,129.8,"145,00",4.6,xiaomi,"18,3 x 9,2 x 3,7",8.0,256.0,360.0
1838,349.0,"446,46",4.5,samsung,50 x 50 x 28,8.0,128.0,500.0
1839,198.0,"258,50",4.5,oneplus,50 x 50 x 28,8.0,8.0,195.0
1840,144.99,"144,99",4.2,samsung,"7,3 x 0,97 x 14,6",16.0,16.0,173.0
1841,135.99,"135,99",4.1,ulefone,"7,74 x 0,91 x 16,78",8.0,8.0,217.0
1842,233.0,"239,99",4.1,samsung,"16 x 7,4 x 0,9",6.0,6.0,370.0
1843,199.99,"199,99",5.0,oukitel,"17,42 x 1,74 x 8,23",16.0,16.0,277.3
1844,655.16,"655,16",4.3,google,"0,88 x 7,65 x 16,26",12.0,128.0,211.0
1845,969.0,"1.089,00",4.0,samsung,"19,4 x 12,2 x 6,7",8.0,512.0,340.0
1846,124.99,"124,99",4.3,xiaomi,"20,1 x 9,4 x 5,9",8.0,256.0,460.0
1848,129.99,"129,99",4.1,cubot,"17,1 x 1,25 x 8,1",16.0,128.0,600.0
1849,175.0,"175,00",4.1,apple,"15,7 x 8,6 x 4,8",8.0,64.0,390.0
1851,1794.25,"1.794,25",4.2,apple,"0,78 x 7,15 x 14,75",8.0,1024.0,206.0
1852,118.99,"139,99",4.1,ulefone,"18,9 x 9,9 x 6,2",8.0,256.0,320.0
1853,299.0,"315,00",3.8,xiaomi,"0,83 x 7,52 x 16,08",8.0,8.0,200.0
1854,147.95,"209,00",4.4,samsung,"7,69 x 0,84 x 16,54",64.0,64.0,192.0
1855,245.24,"245,24",3.7,honor,"19 x 10,2 x 7,2",6.0,6.0,600.0
1856,266.0,"266,00",3.5,apple computer,"16,49 x 8,96 x 2,82",64.0,64.0,160.0
1858,139.99,"139,99",4.2,fossibot,"23,9 x 22,9 x 6",12.0,64.0,360.0
1859,229.0,"229,00",3.6,oppo,50 x 50 x 28,16.0,16.0,500.0
1860,183.0,"183,00",4.3,xiaomi,10 x 2 x 20,4.0,128.0,420.0
1862,614.03,"614,03",4.6,samsung,"1,5 x 1,09 x 0,1",8.0,256.0,200.0
1864,143.35,"199,99",4.2,realme,"17,9 x 9,4 x 4,1",8.0,128.0,400.0
1865,325.99,"325,99",4.5,oukitel,"17,22 x 8,1 x 1,49",24.0,256.0,360.0
1866,84.28,"84,28",4.0,realme,"16,44 x 7,5 x 0,89",3.0,3.0,195.0
1867,59.31,"59,31",4.1,mtgud,"17 x 9,5 x 5,5",1.0,16.0,350.0
1868,633.64,"633,64",3.6,apple,"0,77 x 7,81 x 16,08",8.0,256.0,277.3
1869,856.55,"856,55",4.4,apple,50 x 50 x 28,8.0,128.0,277.3
1870,350.0,"350,00",3.8,apple,"0,77 x 6,42 x 13,15",4.0,4.0,277.3
1871,149.99,"149,99",4.2,ulefone,"16,88 x 7,68 x 0,88",12.0,128.0,350.0
1873,139.99,"139,99",4.2,oscal,"16,32 x 7,52 x 0,87",12.0,256.0,450.0
